Number,Plant,Scientific,Perennial,EFT,Indoors,GermMin,Germ Max,Weeks Before LastFrost ,Transplant Outdoors,Companion To,Oppose,Companions,Benefits,Opponents,Harms,Together,Diameter (hole),Deep,Distance,Blooms,HarvMin,HarvMax,Comments,Pollination
54,Bean (bush),Phaseolus vulgaris,A,E,no,2,2,3-4,n/a,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,spinach-cucumber-corn-and potato.,Interdum malesuada fames dapibus velit  egestas,cauliflower-broccoli-kale-cress-mustard-garlic-chives and leeks.  ,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,2,1,,Integer tempus,1,100,seedlings should be 6-10 inches tall before transplanting outdoors.,self-pollinating
32,Bean (green-fava-pole),Phaseolus vulgaris,A,E,no,2,2,3-4,n/a,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,beets-broccoli-cabbage (red-green)-carrots-corn-peas-potatoes-squash-strawberries-cucumbers-tomatoes (beefsteak-cherry),Interdum malesuada fames dapibus velit  egestas,sunflowers-onions (leeks)-peppers-garlic,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,6,1,,Integer tempus,1,100,Ut condimentum condimentum urna-- in semper mi condimentum.,self-pollinating
1,Corn,Zea Mays,A,E,no,2,2,14,n/a,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,beans (green-fava)-potatoes,Interdum malesuada fames dapibus velit  egestas,tomatoes (beefsteak-cherry),ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,3,4,100,,Integer tempus,1,100,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,self-pollinate with wind.
16,Cucumber,Cucumis sativus,A,E,yes,1,2,0,2 weeks after last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,beans (green-fava-pole)-carrots-corn-lettuce-peas-radishes-sunflowers-onions (leeks),Interdum malesuada fames dapibus velit  egestas,potatoes,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,18,1,36 inches,Integer tempus,1,100,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,cross-pollinate. Needs insects
15,Lettuce,Latuca sativa,A,E,yes,1,2,6-8,2 weeks before last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,beans (green-fava)-beets-carrots-corn-peas-peppers-potatoes-radishes-spinach-sunflowers-tomatoes (beefsteak-cherry),Chives and garlic control aphids.,broccoli,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,4,1,,Integer tempus,45,60,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,self-pollinating
7,Marigold,Tagetes ,A,F,yes,1,2,8 weeks,1 week after last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,corn,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,1,100,,Integer tempus,1,100,Ut condimentum condimentum urna-- in semper mi condimentum.,self-pollinate with bees. Bees are required.
28,Pea,Pisum sativum,A,E,yes,1,2,6-8,1 week after last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,carrots-corn-potatoes,Interdum malesuada fames dapibus velit  egestas,garlic-onions (leeks),ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,2,1,,Integer tempus,1,100,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,self-pollinating- No bees required- but they don't hurt
42,Petunia,Petunia atkinsiana,A,F,yes,1,2,10-12,3 leaves,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,celery-cucumbers-lettuce-onions (leeks)-potatoes-spinach,Interdum malesuada fames dapibus velit  egestas,tomatoes (beefsteak-cherry)-grapes-marigolds-strawberries-beans (green-fava-pole),ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,100,100,,Integer tempus,1,100,Ut condimentum condimentum urna-- in semper mi condimentum.,cross-pollinate.
9,Petunia,Petunia integrifolia,A,F,yes,1,2,6-10,2 weeks after last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,corn-beans (green-fava-pole)-tomatoes (beefsteak-cherry)-broccoli-peppers-grapes-cabbage (red-green),Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,12,100,,Integer tempus,1,100,Ut condimentum condimentum urna-- in semper mi condimentum.,cross-pollinate.
5,Pumpkin,Cucurbita maxima,A,E,no,1,2,6-8,n/a,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,corn-radishes,Interdum malesuada fames dapibus velit  egestas,potatoes,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,5,36,100,,Integer tempus,100,150,Vivamus lacinia ante non nulla aliquam-- quis aliquam elit cursus.,cross-pollinate. Needs insects
