Number,Plant,Scientific,Perennial,EFT,Indoors,GermMin,Germ Max,Weeks Before LastFrost ,Transplant Outdoors,Companion To,Oppose,Companions,Benefits,Opponents,Harms,Together,Diameter (hole),Deep,Distance,Blooms,HarvMin,HarvMax,Comments,Pollination
20,Asparagus,Asparagus officinalis,P,E,yes,3,4,4,12 weeks old,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,tomatoes (beefsteak-cherry)-lettuce,Deter asparagus beetles,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,12,6,,Integer tempus,365,365,Ut condimentum condimentum urna-- in semper mi condimentum.,cross-pollinate.
50,Banana,Musa acuminata,P,E,yes,4,24,8-10,7 feet tall,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,several,12,12,15 feet,Integer tempus,36,100,Will not produce fruit in non-tropical zones.,self-pollinate.
54,Bean (bush),Phaseolus vulgaris,A,E,no,2,2,3-4,n/a,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,spinach-cucumber-corn-and potato.,Interdum malesuada fames dapibus velit  egestas,cauliflower-broccoli-kale-cress-mustard-garlic-chives and leeks.  ,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,2,1,,Integer tempus,1,100,seedlings should be 6-10 inches tall before transplanting outdoors.,self-pollinating
32,Bean (green-fava-pole),Phaseolus vulgaris,A,E,no,2,2,3-4,n/a,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,beets-broccoli-cabbage (red-green)-carrots-corn-peas-potatoes-squash-strawberries-cucumbers-tomatoes (beefsteak-cherry),Interdum malesuada fames dapibus velit  egestas,sunflowers-onions (leeks)-peppers-garlic,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,6,1,,Integer tempus,1,100,Ut condimentum condimentum urna-- in semper mi condimentum.,self-pollinating
26,Beet,Beta Vulgaris crassa group,B,E,no,1,2,2-3,April and September,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,carrots-zucchini-cabbage (red-green)-onions (leeks),Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,1,1,2 inches,Integer tempus,42,56,Morbi in sodales lectus-- non venenatis.,self-pollinate with wind.
34,Blackberry,Rubus fruticosus,P,E,yes,14,18,5 months,6 months old,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,big enough for root ball,nursery depth,4-6 feet,Integer tempus,365,100,Morbi in sodales lectus-- non venenatis.,cross-pollinate- self-pollinate
21,Broccoli,Brassica oleracea italica ,B,E,yes,1,2,7-9,2 weeks before last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,onions (leeks)- beets- onions- garlic,Interdum malesuada fames dapibus velit  egestas,cabbage (red-green),ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,18,1,,Integer tempus,1,100,Morbi in sodales lectus-- non venenatis.,cross-pollinate by genus and species. Needs bees or wind.
27,Cabbage (red-green),Brassica oleracea capitata ,B,E,yes,1,1,8-12,4 weeks before last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,broccoli- brussels sprouts- celery- chard- spinach- tomatoes,strawberries,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,12,1,,Integer tempus,1,100,Morbi in sodales lectus-- non venenatis.,cross-pollinate by genus and species. Needs bees or wind.
14,Carrot,Daucus carota,B,E,no,2,3,3-5,n/a,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,peas-onions (leeks)-radishes (mix)-tomatoes (beefsteak-cherry),Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,4,1,1,3 inches,Integer tempus,60,90,plant new every other year,cross-pollinate. Needs insects
55,Cauliflower,Brassica oleracea botrytis,B,E,yes,1,2,7-9,2 sets of true leaves- about 2 weeks before last frost,,,broccoli- brussels sprouts- celery- chard- spinach- tomatoes,,,,,,,,,,,,cross-pollinate by genus and species. Needs bees or wind.
