Number,Plant,Scientific,Perennial,EFT,Indoors,GermMin,Germ Max,Weeks Before LastFrost ,Transplant Outdoors,Companion To,Oppose,Companions,Benefits,Opponents,Harms,Together,Diameter (hole),Deep,Distance,Blooms,HarvMin,HarvMax,Comments,Pollination
49,Daffodil,Narcissus pseudonarcissus,P,F,yes,13,18,n/a,2-4 weeks before first frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,100,100,,Integer tempus,1,100,These figures ar4e from bulb insread of from seed,self-pollinate with bees.
43,Lavender,Lavandula,P,F,yes,1,2,8-12 weeks,1 week after last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,Beets-Bush Beans-Celery-Chamomile-Cucumber-Dill-Garlic-Geranium-Hyssop-Marigolds-Mint-Nasturtiums-Onions-Potatoes-Rosemary-Rue-Sage-Tansy-Thyme.,Interdum malesuada fames dapibus velit  egestas,Grapes-Mexican marigolds-Pole Beans-Rue-Strawberries-Tomato,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,100,100,,Integer tempus,1,100,Ut condimentum condimentum urna-- in semper mi condimentum.,self-pollinate.
6,Lavender,Lavandula,P,F,yes,1,2,8-12 weeks,1 week after last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,broccoli-cabbage (red-green),Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,24,100,,Integer tempus,1,100,Ut condimentum condimentum urna-- in semper mi condimentum.,self-pollinate.
7,Marigold,Tagetes ,A,F,yes,1,2,8 weeks,1 week after last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,corn,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,1,100,,Integer tempus,1,100,Ut condimentum condimentum urna-- in semper mi condimentum.,self-pollinate with bees. Bees are required.
44,Monarda (bee balm),Monarda didyma,P,F,yes,2,6,8-10,4-6  inches tall,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,Artichokes Beets Celery Cucumber Lettuce Onion Peas Potatoes Radishes Spinach Kale also enjoys the company of many herbs such as: Garlic Basil Dill Chamomile Mint Rosemary Sage Thyme,Interdum malesuada fames dapibus velit  egestas,tomato strawberry,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,100,100,,Integer tempus,1,100,Ut condimentum condimentum urna-- in semper mi condimentum.,cross-pollinate- self-pollinate
8,Monarda (bee balm),Monarda didyma,P,F,yes,2,6,8-10 weeks,1 week after last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,tomatoes (beefsteak-cherry)-squash,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,18,100,1 foot,Integer tempus,365,365,Ut condimentum condimentum urna-- in semper mi condimentum.,cross-pollinate- self-pollinate
42,Petunia,Petunia atkinsiana,A,F,yes,1,2,10-12,3 leaves,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,celery-cucumbers-lettuce-onions (leeks)-potatoes-spinach,Interdum malesuada fames dapibus velit  egestas,tomatoes (beefsteak-cherry)-grapes-marigolds-strawberries-beans (green-fava-pole),ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,100,100,,Integer tempus,1,100,Ut condimentum condimentum urna-- in semper mi condimentum.,cross-pollinate.
9,Petunia,Petunia integrifolia,A,F,yes,1,2,6-10,2 weeks after last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,corn-beans (green-fava-pole)-tomatoes (beefsteak-cherry)-broccoli-peppers-grapes-cabbage (red-green),Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,12,100,,Integer tempus,1,100,Ut condimentum condimentum urna-- in semper mi condimentum.,cross-pollinate.
41,Primrose,Primula vulgaris,B,F,yes,3,5,5,2 weeks before last frost,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,100,6,,Integer tempus,1,100,Ut condimentum condimentum urna-- in semper mi condimentum.,self-pollinate.
11,Sunflower,Helianthus,A,F,no,1,2,2,n/a,lorem ipsum,,corn,Interdum malesuada fames dapibus velit  egestas,potatoes-beans (green-fava-pole),seeds- leaves- and stems emit substances that inhibit growth of opponent plants.  Toxins from bird seeds will eventually kill grass.,1,6,100,,Integer tempus,1,100,Ut condimentum condimentum urna-- in semper mi condimentum.,cross-pollinate- self-pollinate
