Number,Plant,Scientific,Perennial,EFT,Indoors,GermMin,Germ Max,Weeks Before LastFrost ,Transplant Outdoors,Companion To,Oppose,Companions,Benefits,Opponents,Harms,Together,Diameter (hole),Deep,Distance,Blooms,HarvMin,HarvMax,Comments,Pollination,,,
35,Apple,Pyrus malus,P,T,no,13,18,7,n/a,lorem ipsum,cedar trees with fungal disease,comfrey nasturtium chamomile coriander dill fennel basil lemongrass mint artemisia yarrow daffodil tansy marigold hyssop chives dogwood sweet-cicely,Deter pests- attract beneficial insects- conserve moisture- keep weeds down- makes good winter mulch.,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,2,30,12,,April-May,100,200,dwarf-- semi-dwarf--and standard sizes,cross-pollinate with different species.,,,
46,Avocado,Persea americana,P,T,yes,2,6,8,6-7 inches tall,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,100,12,,Integer tempus,1,100,Transplant to a larger pot instead of outdoors.  Cut 3 inches off the top of the plant- then re-pot whent it is 6 inches tall again.,self-pollinate.,,,
40,Banana,Musa paradisicum,P,T,yes,4,24,8-10,7 feet tall,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,several,12,12,15 feet,Integer tempus,1,100,Morbi in sodales lectus-- non venenatis.,self-pollinate.,,,
38,Cherry,Prunus avium,P,T,yes,12,28,n/a,in the fall,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,1,2,1 foot,Integer tempus,1,100,Morbi in sodales lectus-- non venenatis.,cross-pollinate with different species.,,,
61,Grapefruit,Citrus paradisi,P,T,no,2,4,n/a,6-12 inches tall,,,,,,,,,,,,,,,cross-pollinate- self-pollinate,,,
47,Lemon,Citrus limon,P,T,yes,1,2,n/a,6-12 inches tall,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,yarrow- dill- fennel,attract lacewings and ladybugs that feed on aphids,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,100,12,6-12 feet,Integer tempus,6 months,8 months,Move inside a month before first frost,cross-pollinate- self-pollinate,,,
52,Lime,ilia x europaea ,P,T,no,2,4,n/a,6-12 inches tall,,,peas- alfalfa,leach nitrogen into the ground,,,,,,,,,,,self-pollinate.,,,
39,Orange,Citrus aurantium,P,T,yes,2,3,n/a,6-12 inches tall,none,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,marigold- petunia,odor deters pests,Maecenas dignissim maximus.,block sunlight,1,100,12,,Integer tempus,1,100,Morbi in sodales lectus-- non venenatis.,cross-pollinate- self-pollinate,,,
53,Peach,Prunus persica ,P,T,no,16,28,n/a,1 week after last frost,,,,,12,15,,,,,,,,,self-pollinate.,,,
36,Pear,Pyrus communis,P,T,no,24,28,n/a,1 foot tall,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,100,12,,Integer tempus,1,100,Morbi in sodales lectus-- non venenatis.,cross-pollinate with different species. Needs bees-,,,
37,Plum,Prunus domestica,P,T,no,14,16,2 weeks after last frost,n/a,lorem ipsum,Aliquam volutpat. Suspendisse ut hendrerit nunc. Maecenas dapibus velit quis porta egestas.,,Interdum malesuada fames dapibus velit  egestas,Maecenas dignissim maximus.,ed quia consequuntur magni dolores eos qui ratione voluptatem sequi,1,100,12,,Integer tempus,1,100,Morbi in sodales lectus-- non venenatis.,self-pollinate with bees.,,98,126
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
